Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
PTLO54;15;OP1R074;2026-03-26;20:00;0549584;GRAND NANCY 2;0543620;VANDOEUVRE 2; 3/0;25-23,25-16,25-10;75-49;GYMNASE LA FONTAINE;;;
PTLO54;15;OP1R075;2026-03-25;20:00;0545068;VILLERS 1;0542772;FLAVIGNY; 3/2;18-25,25-11,25-20,15-25,15-6;98-87;GYMNASE CHEPFER;;;
PTLO54;16;OP1R076;2026-03-31;20:00;0542772;FLAVIGNY;0542783;NANCY VOLLEY 2; 3/0;25-20,25-21,25-23;75-64;GYMNASE PAUL VERLAINE;;;
PTLO54;16;OP1R077;2026-04-01;20:00;0543620;VANDOEUVRE 2;0545068;VILLERS 1; 0/3;16-25,22-25,21-25;59-75;GYM B - NATIONS;GAVOILLE ETHAN;MAYER TRISTAN;
PTLO54;16;OP1R078;2026-06-05;20:00;0542783;NANCY VOLLEY 1;0549584;GRAND NANCY 2; 3/2;26-24,22-25,25-17,20-25,15-10;108-101;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;16;OP1R079;2026-04-02;20:00;0549584;GRAND NANCY 1;0543620;VANDOEUVRE 1; 0/3;16-25,18-25,16-25;50-75;GYMNASE LA FONTAINE;;;
PTLO54;16;OP1R080;2026-04-02;20:00;0548759;TOUL VALCOURT 1;0548310;SEICHAMPS 1; 3/0;25-12,25-21,25-21;75-54;COMPLEXE SPORTIF VALCOURT;;;
PTLO54;17;OP1R081;2026-05-22;20:00;0542783;NANCY VOLLEY 2;0548310;SEICHAMPS 1; 3/0;25-21,25-20,25-20;75-61;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;17;OP1R082;2026-04-29;20:00;0543620;VANDOEUVRE 1;0548759;TOUL VALCOURT 1; 3/0;25-10,25-19,25-12;75-41;GYM B - NATIONS;GABRION QUENTIN;;
PTLO54;17;OP1R083;2026-04-30;20:00;0549584;GRAND NANCY 2;0549584;GRAND NANCY 1; 1/3;24-26,25-15,16-25,22-25;87-91;GYMNASE LA FONTAINE;;;
PTLO54;17;OP1R084;2026-06-02;20:00;0545068;VILLERS 1;0542783;NANCY VOLLEY 1; 3/2;28-26,21-25,28-30,25-22,15-9;117-112;GYMNASE CHEPFER;;;
PTLO54;17;OP1R085;2026-04-28;20:00;0542772;FLAVIGNY;0543620;VANDOEUVRE 2; 3/0;25-15,25-18,25-13;75-46;GYMNASE PAUL VERLAINE;;;
PTLO54;18;OP1R086;2026-05-27;20:00;0543620;VANDOEUVRE 2;0542783;NANCY VOLLEY 2; 1/3;25-16,17-25,22-25,19-25;83-91;GYM B - NATIONS;;;
PTLO54;18;OP1R087;2026-06-12;20:00;0542783;NANCY VOLLEY 1;0542772;FLAVIGNY; 2/3;20-25,22-25,26-24,28-26,10-15;106-115;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;18;OP1R088;2026-05-21;20:00;0549584;GRAND NANCY 1;0545068;VILLERS 1; 3/0;25-18,25-22,25-20;75-60;GYMNASE LA FONTAINE;;;
PTLO54;18;OP1R089;2026-06-11;20:00;0548759;TOUL VALCOURT 1;0549584;GRAND NANCY 2; 3/2;25-16,15-25,25-20,20-25,15-7;100-93;COMPLEXE SPORTIF VALCOURT;;;
PTLO54;18;OP1R090;2026-05-11;20:30;0548310;SEICHAMPS 1;0543620;VANDOEUVRE 1; 0/3;16-25,13-25,22-25;51-75;MARTINCHAMPS;;;
