Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LILO;09;RMAA045;2026-01-11;14:00;0523906;CHAUMONT C;0884751;GERARDMER; 3/2;25-15,22-25,15-25,25-21,15-10;102-96;SALLE JEAN MASSON;PREAU NICOLAS;;
LILO;10;RMAR046;2026-01-17;20:30;;xxxxx;0523906;CHAUMONT C;;;;;;;
LILO;10;RMAR047;2026-01-18;14:00;0545520;FROUARD/POMPEY A;0884751;GERARDMER; 1/3;15-25,26-24,17-25,17-25;75-99;SALLE DU SIC;TSAGOURIS DIMITRI;;
LILO;10;RMAR048;2026-01-22;20:30;0542783;GRAND NANCY F;0542783;GRAND NANCY E; 1/3;32-30,22-25,17-25,25-27;96-107;GYMNASE ALFRED MEZIERES;BARBE ANNE;;
LILO;10;RMAR049;2026-01-17;19:00;0102303;TROYES;0545520;FROUARD/POMPEY B; 3/1;28-26,17-25,25-21,25-21;95-93;COSEC 2 ANDRE PERE;CHARBONNEAU THOMAS;;
LILO;10;RMAR050;2026-01-18;16:00;0885362;EPINAL/GOLBEY C;0886034;REMIREMONT; 3/1;25-22,25-21,21-25,25-21;96-89;GYMNASE LAPICQUE;ZABE JEAN-RAYMOND;;
LILO;11;RMAR051;2026-01-31;20:30;;xxxxx;0886034;REMIREMONT;;;;;;;
LILO;11;RMAR052;2026-02-01;14:00;0545520;FROUARD/POMPEY B;0885362;EPINAL/GOLBEY C; 1/3;25-27,25-21,26-28,20-25;96-101;SALLE DU SIC;PAQUIN ANTONIN;;
LILO;11;RMAR053;2026-01-31;20:30;0542783;GRAND NANCY E;0102303;TROYES; 3/1;25-20,20-25,25-19,25-18;95-82;PHILIPPE DE GUELDRES;MANAV SIBEL;;
LILO;11;RMAR054;2026-01-31;20:30;0884751;GERARDMER;0542783;GRAND NANCY F; 3/0;25-19,25-14,25-22;75-55;HALLE DES SPORTS;WEBER MICHEL;;
LILO;11;RMAR055;2026-01-31;20:30;0523906;CHAUMONT C;0545520;FROUARD/POMPEY A; 3/0;25-17,25-18,25-18;75-53;SALLE JEAN MASSON;TSAGOURIS DIMITRI;;
LILO;12;RMAR056;2026-02-07;20:30;0545520;FROUARD/POMPEY A;;xxxxx;;;;SALLE DU SIC;;;
LILO;12;RMAR057;2026-02-07;20:30;0542783;GRAND NANCY F;0523906;CHAUMONT C; 2/3;22-25,22-25,25-15,25-22,16-18;110-105;GYMNASE ALFRED MEZIERES;BARBE ANNE;;
LILO;12;RMAR058;2026-02-07;20:30;0102303;TROYES;0884751;GERARDMER; 0/3;10-25,17-25,18-25;45-75;COSEC 2 ANDRE PERE;TSAGOURIS DIMITRI;;
LILO;12;RMAR059;2026-02-08;16:00;0885362;EPINAL/GOLBEY C;0542783;GRAND NANCY E; 3/1;25-22,26-28,30-28,25-21;106-99;GYMNASE VIVIANI;ZABE JEAN-RAYMOND;;
LILO;12;RMAR060;2026-02-07;20:30;0886034;REMIREMONT;0545520;FROUARD/POMPEY B; 3/1;25-13,25-18,17-25,25-17;92-73;GYMNASE CHARLET;WEBER MICHEL;;
LILO;13;RMAR061;2026-03-07;20:30;;xxxxx;0545520;FROUARD/POMPEY B;;;;;;;
LILO;13;RMAR062;2026-03-07;20:30;0542783;GRAND NANCY E;0886034;REMIREMONT; 0/3;17-25,15-25,20-25;52-75;PHILIPPE DE GUELDRES;LAHIRE DENIS;;
LILO;13;RMAR063;2026-03-07;20:30;0884751;GERARDMER;0885362;EPINAL/GOLBEY C; 3/1;25-23,25-15,22-25,25-20;97-83;HALLE DES SPORTS;ZABE JEAN-RAYMOND;;
LILO;13;RMAR064;2026-03-07;20:30;0523906;CHAUMONT C;0102303;TROYES; 3/0;25-9,28-26,25-15;78-50;SALLE JEAN MASSON;PREAU NICOLAS;LAMZOURI JAWEL;
LILO;13;RMAR065;2026-03-07;20:30;0545520;FROUARD/POMPEY A;0542783;GRAND NANCY F; 3/2;25-18,21-25,25-18,14-25,15-5;100-91;COSEC;BARBE ANNE;;
LILO;14;RMAR066;2026-03-14;20:30;0542783;GRAND NANCY F;;xxxxx;;;;GYMNASE ALFRED MEZIERES;;;
LILO;14;RMAR067;2026-03-14;19:00;0102303;TROYES;0545520;FROUARD/POMPEY A; 1/3;22-25,24-26,25-13,16-25;87-89;COSEC 2 ANDRE PERE;PRAUCA MARIAM;;
LILO;14;RMAR068;2026-04-05;16:00;0523906;CHAUMONT C;0885362;EPINAL/GOLBEY C; 3/0;25-19,25-18,26-24;76-61;SALLE JEAN MASSON;LAHIRE DENIS;LAMZOURI JAWEL;
LILO;14;RMAR069;2026-03-14;20:30;0886034;REMIREMONT;0884751;GERARDMER; 3/1;23-25,25-20,25-21,25-19;98-85;GYMNASE CHARLET;WEBER MICHEL;;
LILO;14;RMAR070;2026-03-14;20:30;0545520;FROUARD/POMPEY B;0542783;GRAND NANCY E; 0/3;22-25,21-25,18-25;61-75;SALLE DU SIC;PAJO STELA;;
LILO;15;RMAR071;2026-03-21;20:30;;xxxxx;0542783;GRAND NANCY E;;;;;;;
LILO;15;RMAR072;2026-03-21;20:30;0884751;GERARDMER;0545520;FROUARD/POMPEY B; 3/0;25-15,25-14,25-18;75-47;HALLE DES SPORTS;WENTZEL LISA;;
LILO;15;RMAR073;2026-03-21;20:30;0523906;CHAUMONT C;0886034;REMIREMONT; 2/3;21-25,25-15,25-20,18-25,10-15;99-100;SALLE JEAN MASSON;PREAU NICOLAS;LAMZOURI JAWEL;
LILO;15;RMAR074;2026-03-22;14:00;0545520;FROUARD/POMPEY A;0885362;EPINAL/GOLBEY C; 0/3;12-25,13-25,24-26;49-76;COSEC;MAHMOUD ABDALLAH;;
LILO;15;RMAR075;2026-03-21;20:30;0542783;GRAND NANCY F;0102303;TROYES; 3/1;15-25,25-20,26-24,25-17;91-86;GYMNASE ALFRED MEZIERES;MANAV SIBEL;;
LILO;16;RMAR076;2026-03-28;20:30;0102303;TROYES;;xxxxx;;;;COSEC 2 ANDRE PERE;;;
LILO;16;RMAR077;2026-03-29;16:00;0885362;EPINAL/GOLBEY C;0542783;GRAND NANCY F; 1/3;19-25,25-14,22-25,17-25;83-89;GYMNASE VIVIANI;VIRY ETIENNE;;
LILO;16;RMAR078;2026-03-28;20:30;0886034;REMIREMONT;0545520;FROUARD/POMPEY A; 3/0;25-22,25-20,25-17;75-59;GYMNASE CHARLET;DIDIER MARIE;;
LILO;16;RMAR079;2026-03-28;20:30;0545520;FROUARD/POMPEY B;0523906;CHAUMONT C; 0/3;21-25,11-25,15-25;47-75;SALLE DU SIC;PERRUCHAUD JEAN;;
LILO;16;RMAR080;2026-03-28;20:30;0542783;GRAND NANCY E;0884751;GERARDMER; 3/0;25-22,25-20,25-18;75-60;GYMNASE ALFRED MEZIERES;BARBE ANNE;;
LILO;17;RMAR081;2026-05-02;20:30;;xxxxx;0884751;GERARDMER;;;;;;;
LILO;17;RMAR082;2026-05-02;20:30;0523906;CHAUMONT C;0542783;GRAND NANCY E; 3/0;25-20,25-16,25-20;75-56;SALLE JEAN MASSON;PREAU NICOLAS;LAMZOURI JAWEL;
LILO;17;RMAR083;2026-05-02;20:30;0545520;FROUARD/POMPEY A;0545520;FROUARD/POMPEY B; 1/3;25-18,24-26,21-25,19-25;89-94;SALLE DU SIC;MAHMOUD ABDALLAH;;
LILO;17;RMAR084;2026-05-02;20:30;0542783;GRAND NANCY F;0886034;REMIREMONT; 0/3;15-25,24-26,23-25;62-76;GYMNASE ALFRED MEZIERES;BARBE ANNE;;
LILO;17;RMAR085;2026-05-02;19:00;0102303;TROYES;0885362;EPINAL/GOLBEY C; 2/3;25-23,8-25,14-25,31-29,14-16;92-118;COSEC 2 ANDRE PERE;PRAUCA MARIAM;;
LILO;18;RMAR086;2026-05-10;16:00;0885362;EPINAL/GOLBEY C;;xxxxx;;;;GYMNASE VIVIANI;;;
LILO;18;RMAR087;2026-05-09;20:30;0886034;REMIREMONT;0102303;TROYES; 3/0;25-20,25-20,25-17;75-57;GYMNASE CHARLET;WEBER MICHEL;;
LILO;18;RMAR088;2026-05-09;20:30;0545520;FROUARD/POMPEY B;0542783;GRAND NANCY F; 3/2;20-25,22-25,25-16,25-19,15-7;107-92;COSEC;MAHMOUD ABDALLAH;;
LILO;18;RMAR089;2026-05-09;20:30;0542783;GRAND NANCY E;0545520;FROUARD/POMPEY A; 3/1;25-18,25-18,17-25,25-23;92-84;PHILIPPE DE GUELDRES;BARBE ANNE;;
LILO;18;RMAR090;2026-05-09;20:30;0884751;GERARDMER;0523906;CHAUMONT C; 3/2;25-21,17-25,22-25,25-19,15-10;104-100;HALLE DES SPORTS;ROTH HARENZA THOMAS;;
